color;symbol;latitude;longitude
red;googlemini;39.946732;116.796047
red;googlemini;39.945630;116.783735
red;googlemini;39.945834;116.786192
red;googlemini;39.946612;116.782812
red;googlemini;39.945704;116.783063
red;googlemini;39.946873;116.783252
red;googlemini;39.947380;116.782925
red;googlemini;39.947236;116.782948
red;googlemini;39.946947;116.783390
red;googlemini;39.946964;116.782592
red;googlemini;39.947119;116.783188
red;googlemini;39.946012;116.783285
red;googlemini;39.947591;116.783172
red;googlemini;39.947172;116.782952
red;googlemini;39.946578;116.783388
red;googlemini;39.947934;116.782389
red;googlemini;39.947369;116.782779
red;googlemini;39.947925;116.782231
red;googlemini;39.947693;116.782994
red;googlemini;39.947522;116.783031
red;googlemini;39.946596;116.783194
red;googlemini;39.947566;116.782921
red;googlemini;39.947924;116.783121
red;googlemini;39.947171;116.782745
red;googlemini;39.946894;116.783159
red;googlemini;39.947372;116.783156
red;googlemini;39.946107;116.783376
red;googlemini;39.947243;116.785695
red;googlemini;39.947104;116.783097
red;googlemini;39.947403;116.783042
red;googlemini;39.947208;116.784268
red;googlemini;39.947019;116.783436
red;googlemini;39.947234;116.782999
red;googlemini;39.947064;116.783549
red;googlemini;39.947385;116.783214
red;googlemini;39.947494;116.783102
red;googlemini;39.946484;116.783544
red;googlemini;39.940928;116.785028
red;googlemini;39.946696;116.783077
red;googlemini;39.946030;116.783168
red;googlemini;39.947516;116.782845
red;googlemini;39.947048;116.782574
red;googlemini;39.946326;116.794810
red;googlemini;39.945807;116.795113
red;googlemini;39.945690;116.795095
red;googlemini;39.946722;116.794427
red;googlemini;39.946781;116.783027
red;googlemini;39.945535;116.786261
red;googlemini;39.947148;116.782555
red;googlemini;39.947626;116.786297
red;googlemini;39.947080;116.782960
red;googlemini;39.947530;116.785274
red;googlemini;39.947726;116.783169
red;googlemini;39.946685;116.793025
red;googlemini;39.947386;116.803415
red;googlemini;39.947984;116.817265
red;googlemini;39.948932;116.827753
red;googlemini;39.949471;116.828547
red;googlemini;39.949319;116.828397
red;googlemini;39.949146;116.828526
red;googlemini;39.948285;116.822901
red;googlemini;39.947785;116.810174
red;googlemini;39.951808;116.804260
red;googlemini;39.951733;116.803389
red;googlemini;39.952354;116.801641
red;googlemini;40.008265;116.319210
red;googlemini;40.006762;116.319215
red;googlemini;40.004437;116.312744
red;googlemini;39.998257;116.308793
red;googlemini;39.989015;116.309888
red;googlemini;39.985291;116.309930
red;googlemini;39.986831;116.310215
red;googlemini;39.976053;116.310982
red;googlemini;39.966600;116.314609
red;googlemini;39.943189;116.303843
red;googlemini;39.915942;116.303971
red;googlemini;39.908297;116.303630
red;googlemini;39.906136;116.289835
red;googlemini;39.892876;116.288784
red;googlemini;39.890492;116.288363
red;googlemini;39.890834;116.290929
red;googlemini;39.890018;116.288913
red;googlemini;39.890222;116.288876
red;googlemini;39.899352;116.289215
red;googlemini;39.905107;116.305438
red;googlemini;39.909172;116.304446
red;googlemini;39.940599;116.304353
red;googlemini;39.964788;116.312928
red;googlemini;39.974397;116.311615
red;googlemini;39.982212;116.310583
red;googlemini;39.995639;116.309093
red;googlemini;39.998557;116.312326
red;googlemini;40.004915;116.321309
red;googlemini;40.005227;116.322636
red;googlemini;40.005419;116.322595
red;googlemini;40.004808;116.324245
red;googlemini;40.000815;116.327219
red;googlemini;40.009202;116.322734
red;googlemini;40.009073;116.320217
red;googlemini;40.009954;116.319840
red;googlemini;40.009555;116.320105
red;googlemini;40.009332;116.320157
red;googlemini;40.007071;116.317739
red;googlemini;40.009936;116.315376
red;googlemini;40.006218;116.317801
red;googlemini;39.999889;116.323948
red;googlemini;39.999191;116.331397
red;googlemini;39.998963;116.326684
red;googlemini;39.993041;116.326870
red;googlemini;39.991696;116.331418
red;googlemini;39.985067;116.331720
red;googlemini;39.906605;116.471232
red;googlemini;39.906788;116.474802
red;googlemini;39.906435;116.474931
red;googlemini;39.908174;116.524533
red;googlemini;39.908124;116.583986
red;googlemini;39.919241;116.633720
red;googlemini;39.924761;116.633396
red;googlemini;39.921520;116.649795
red;googlemini;39.922413;116.688338
red;googlemini;39.932342;116.752282
red;googlemini;39.941835;116.792690
red;googlemini;39.951398;116.796332
red;googlemini;39.950645;116.800959
red;googlemini;39.948577;116.798019
red;googlemini;39.999987;116.327207
